ID,ss,full_head,noneck,
CQ500CT0_CT-4cc-sec-150cc-D3D-on-2.png,1,1,1,
CQ500CT0_CT-4cc-sec-150cc-D3D-on-3.png,1,1,1,
CQ500CT0_CT-4cc-sec-150cc-D3D-on.png,1,1,1,
CQ500CT0_CT-PLAIN-THIN.png,1,1,1,
CQ500CT0_CT-Plain.png,1,1,1,
CQ500CT1_CT-2.55mm.png,1,1,1,
CQ500CT2_CT-0.625mm.png,1,1,1,
CQ500CT2_CT-5mm.png,1,1,1,
CQ500CT3_CT-PLAIN-THIN.png,1,1,1,
CQ500CT3_CT-Plain.png,1,1,1,
CQ500CT4_CT-0.625mm.png,1,1,1,
CQ500CT4_CT-5mm.png,1,1,1,
CQ500CT5_CT-Plain-3mm.png,1,1,1,
CQ500CT6_CT-3.753.75mm-Plain.png,0,1,0,
CQ500CT6_CT-Thin-Details.png,0,1,0,
CQ500CT6_CT-Thin-Plain.png,0,1,0,
CQ500CT7_CT-PLAIN-THIN.png,0,0,0,
CQ500CT7_CT-Plain.png,1,1,1,
CQ500CT8_CT-HELICAL.png,1,1,1,
CQ500CT8_CT-PLAIN-THIN.png,1,1,1,
CQ500CT9_CT-55mm-Plain.png,1,1,1,
CQ500CT9_CT-Thin-Plain.png,1,1,1,
CQ500CT10_CT-PLAIN-THIN.png,1,1,1,
CQ500CT11_CT-55mm-Plain.png,0,1,1,
CQ500CT11_CT-Thin-Plain.png,0,1,1,
CQ500CT12_CT-55mm-Plain.png,1,1,1,
CQ500CT12_CT-Thin-Plain.png,1,1,1,
CQ500CT13_CT-PRE-CONTRAST-5MM-STD.png,1,1,1,
CQ500CT13_CT-PRE-CONTRAST-BONE.png,1,1,1,
CQ500CT13_CT-PRE-CONTRAST-THIN.png,1,1,1,
CQ500CT14_CT-Plain-3mm.png,1,1,1,
CQ500CT14_CT-Plain-THIN.png,1,1,1,
CQ500CT15_CT-55mm-Plain.png,1,1,1,
CQ500CT15_CT-Thin-Plain.png,1,0,1,
CQ500CT16_CT-BONE-THIN.png,0,1,0,
CQ500CT16_CT-PLAIN-THIN.png,0,1,0,
CQ500CT17_CT-0.625mm.png,1,1,1,
CQ500CT17_CT-5mm.png,1,1,1,
CQ500CT18_CT-0.625mm.png,1,1,1,
CQ500CT18_CT-5mm.png,1,1,1,
CQ500CT19_CT-4cc-sec-150cc-D3D-on-2.png,1,1,1,
CQ500CT19_CT-4cc-sec-150cc-D3D-on.png,1,1,1,
CQ500CT19_CT-PLAIN-THIN.png,1,1,1,
CQ500CT19_CT-Plain.png,1,1,1,
CQ500CT20_CT-55mm-Plain.png,0,1,0,
CQ500CT20_CT-Thin-Plain.png,0,1,0,
CQ500CT21_CT-PRE-CONTRAST-5MM-STD.png,1,1,1,
CQ500CT21_CT-PRE-CONTRAST-BONE.png,1,1,1,
CQ500CT21_CT-PRE-CONTRAST-THIN.png,1,1,1,
CQ500CT22_CT-PLAIN-THIN.png,1,1,1,
CQ500CT22_CT-Plain.png,1,1,1,
CQ500CT23_CT-5mm-POST-CONTRAST.png,1,1,1,
CQ500CT23_CT-PRE-CONTRAST-5MM-STD.png,1,1,1,
CQ500CT23_CT-PRE-CONTRAST-BONE.png,1,1,1,
CQ500CT23_CT-PRE-CONTRAST-THIN.png,1,1,1,
CQ500CT24_CT-2.55mm.png,1,1,1,
CQ500CT25_CT-55mm-Plain.png,1,1,1,
CQ500CT25_CT-Thin-Plain.png,1,1,1,
CQ500CT26_CT-C-THIN.png,0,0,0,
CQ500CT26_CT-C.png,1,1,1,
CQ500CT26_CT-PLAIN-THIN.png,1,1,1,
CQ500CT26_CT-Plain.png,1,1,1,
CQ500CT27_CT-PLAIN-THIN.png,1,1,1,
CQ500CT27_CT-Plain.png,1,1,1,
CQ500CT27_CT-POST-CONTRAST-2.png,1,1,1,
CQ500CT27_CT-POST-CONTRAST.png,1,1,1,
CQ500CT28_CT-55mm-Plain.png,1,1,1,
CQ500CT28_CT-Thin-Plain.png,1,1,1,
CQ500CT29_CT-55mm-Plain.png,1,1,1,
CQ500CT29_CT-Thin-Plain.png,0,1,1,
CQ500CT30_CT-PLAIN-THIN.png,1,1,1,
CQ500CT31_CT-PRE-CONTRAST-5MM-STD.png,1,1,1,
CQ500CT31_CT-PRE-CONTRAST-BONE.png,1,1,1,
CQ500CT31_CT-PRE-CONTRAST-THIN.png,1,1,1,
CQ500CT32_CT-0.625mm-2.png,1,1,1,
CQ500CT32_CT-0.625mm.png,1,1,1,
CQ500CT32_CT-5mm-2.png,1,1,1,
CQ500CT32_CT-5mm.png,1,1,1,
CQ500CT33_CT-4cc-sec-150cc-D3D-on.png,1,1,1,
CQ500CT33_CT-Plain.png,0,1,1,
CQ500CT34_CT-PRE-CONTRAST-5MM-STD.png,1,1,1,
CQ500CT34_CT-PRE-CONTRAST-BONE.png,1,1,1,
CQ500CT34_CT-PRE-CONTRAST-THIN.png,1,1,1,
CQ500CT35_CT-55mm-Plain.png,1,1,1,
CQ500CT35_CT-Thin-Plain.png,0,1,1,
CQ500CT36_CT-PRE-CONTRAST-5MM-STD.png,1,1,1,
CQ500CT36_CT-PRE-CONTRAST-BONE.png,1,1,1,
CQ500CT36_CT-PRE-CONTRAST-THIN.png,1,1,1,
CQ500CT37_CT-C.png,1,0,1,
CQ500CT37_CT-PLAIN-THIN.png,1,1,1,
CQ500CT37_CT-Plain.png,1,1,1,
CQ500CT38_CT-PLAIN-THIN.png,0,0,0,
CQ500CT38_CT-Plain.png,1,1,1,
CQ500CT39_CT-PRE-CONTRAST-5MM-STD.png,1,1,1,
CQ500CT39_CT-PRE-CONTRAST-BONE.png,1,1,1,
CQ500CT39_CT-PRE-CONTRAST-THIN.png,1,1,1,
CQ500CT40_CT-0.625mm.png,1,1,1,
CQ500CT40_CT-5mm.png,1,1,1,
CQ500CT41_CT-BONE-THIN.png,0,1,0,
CQ500CT41_CT-HELICAL-2.png,0,1,0,
CQ500CT41_CT-HELICAL.png,1,1,1,
CQ500CT41_CT-PLAIN-THIN.png,1,1,1,
CQ500CT42_CT-PRE-CONTRAST-5MM-STD.png,1,1,1,
CQ500CT42_CT-PRE-CONTRAST-BONE.png,1,1,1,
CQ500CT42_CT-PRE-CONTRAST-THIN.png,1,1,1,
CQ500CT43_CT-2.55mm.png,1,1,1,
CQ500CT43_CT-ORAL-IV-2.png,0,0,0,
CQ500CT43_CT-ORAL-IV-3.png,0,0,0,
CQ500CT43_CT-ORAL-IV.png,0,1,0,
CQ500CT44_CT-55mm-Plain.png,1,1,1,
CQ500CT44_CT-Thin-Plain.png,0,0,0,
CQ500CT45_CT-PRE-CONTRAST-5MM-STD.png,1,1,1,
CQ500CT45_CT-PRE-CONTRAST-BONE.png,1,1,1,
CQ500CT45_CT-PRE-CONTRAST-THIN.png,1,1,1,
CQ500CT46_CT-Plain-3mm.png,1,1,1,
CQ500CT47_CT-PRE-CONTRAST-5MM-STD.png,1,1,1,
CQ500CT47_CT-PRE-CONTRAST-BONE.png,1,1,1,
CQ500CT47_CT-PRE-CONTRAST-THIN.png,1,1,1,
CQ500CT48_CT-4cc-sec-150cc-D3D-on-2.png,1,1,1,
CQ500CT48_CT-4cc-sec-150cc-D3D-on.png,1,1,1,
CQ500CT48_CT-PLAIN-THIN.png,1,1,1,
CQ500CT48_CT-Plain.png,1,1,1,
CQ500CT49_CT-PRE-CONTRAST-5MM-STD.png,1,1,1,
CQ500CT49_CT-PRE-CONTRAST-BONE.png,1,1,1,
CQ500CT49_CT-PRE-CONTRAST-THIN.png,1,1,1,
CQ500CT50_CT-0.625mm.png,1,1,1,
CQ500CT50_CT-5mm.png,1,1,1,
CQ500CT51_CT-PLAIN-THIN.png,0,0,0,
CQ500CT51_CT-Plain.png,1,1,1,
CQ500CT52_CT-PRE-CONTRAST-5MM-STD.png,1,1,1,
CQ500CT52_CT-PRE-CONTRAST-BONE.png,1,1,1,
CQ500CT52_CT-PRE-CONTRAST-THIN.png,1,1,1,
CQ500CT53_CT-55mm-Plain.png,1,1,1,
CQ500CT53_CT-Thin-Plain.png,1,1,1,
CQ500CT54_CT-55mm-Plain.png,1,1,1,
CQ500CT54_CT-Thin-Plain.png,1,1,1,
CQ500CT55_CT-0.625mm.png,1,1,1,
CQ500CT55_CT-5mm.png,1,1,1,
CQ500CT56_CT-2.55mm-2.png,1,1,1,
CQ500CT56_CT-2.55mm.png,1,1,1,
CQ500CT57_CT-0.625mm.png,1,1,1,
CQ500CT57_CT-5mm.png,1,1,1,
CQ500CT58_CT-PRE-CONTRAST-5MM-STD.png,1,1,1,
CQ500CT58_CT-PRE-CONTRAST-BONE.png,1,1,1,
CQ500CT58_CT-PRE-CONTRAST-THIN.png,1,1,1,
CQ500CT59_CT-PLAIN-THIN.png,0,0,0,
CQ500CT59_CT-Plain.png,1,1,1,
CQ500CT60_CT-0.625mm-2.png,1,1,1,
CQ500CT60_CT-0.625mm.png,1,1,1,
CQ500CT60_CT-5mm-2.png,1,1,1,
CQ500CT60_CT-5mm.png,1,1,1,
CQ500CT61_CT-Plain-3mm.png,1,1,1,
CQ500CT62_CT-55mm-Plain.png,1,1,1,
CQ500CT62_CT-Thin-Bone.png,0,0,0,
CQ500CT62_CT-Thin-Plain.png,1,1,1,
CQ500CT62_CT-Thin-Stand.png,0,0,0,
CQ500CT63_CT-PRE-CONTRAST-5MM-STD.png,1,1,1,
CQ500CT63_CT-PRE-CONTRAST-BONE.png,1,1,1,
CQ500CT63_CT-PRE-CONTRAST-THIN.png,1,1,1,
CQ500CT64_CT-Plain-3mm.png,1,1,1,
CQ500CT65_CT-2.55mm.png,1,1,1,
CQ500CT66_CT-BONE-THIN.png,0,1,1,
CQ500CT66_CT-PLAIN-THIN.png,0,1,1,
CQ500CT66_CT-Plain.png,0,1,1,
CQ500CT66_CT-POST-CONTRAST-2.png,0,1,1,
CQ500CT66_CT-POST-CONTRAST.png,0,1,1,
CQ500CT67_CT-BONE.png,0,1,0,
CQ500CT67_CT-PLAIN-THIN.png,1,1,1,
CQ500CT67_CT-Plain.png,1,1,1,
CQ500CT68_CT-55mm-Plain.png,1,1,1,
CQ500CT68_CT-Thin-Plain.png,1,1,1,
CQ500CT69_CT-PRE-CONTRAST-5MM-STD.png,1,1,1,
CQ500CT69_CT-PRE-CONTRAST-BONE.png,1,1,1,
